airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-06-01,Kolkata,Banglore,04:40:00,07:15:00,155,0,No Info,4804
Indigo,2019-03-24,Banglore,New Delhi,16:55:00,19:45:00,170,0,No Info,7303
Jet Airways,2019-05-24,Mumbai,Hyderabad,02:55:00,04:20:00,85,0,In-flight meal not included,4995
Vistara,2019-03-01,Banglore,New Delhi,06:40:00,10:25:00,1665,1,No Info,12371
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,10:05:00,775,1,No Info,14914
Indigo,2019-03-27,Delhi,Cochin,20:30:00,01:35:00,305,1,No Info,5073
Indigo,2019-05-01,Kolkata,Banglore,08:10:00,13:00:00,290,1,No Info,5069
Indigo,2019-06-24,Delhi,Cochin,15:10:00,20:00:00,290,1,No Info,6147
Jet Airways,2019-05-24,Kolkata,Banglore,21:10:00,04:40:00,450,1,No Info,14178
Indigo,2019-03-06,Delhi,Cochin,04:45:00,21:00:00,975,1,No Info,13611
Air India,2019-05-01,Kolkata,Banglore,10:00:00,23:15:00,795,1,No Info,10203
Air India,2019-03-21,Delhi,Cochin,08:00:00,19:15:00,675,1,No Info,7199
Jet Airways,2019-05-01,Kolkata,Banglore,20:00:00,10:05:00,845,1,In-flight meal not included,8586
Jet Airways,2019-05-09,Kolkata,Banglore,10:20:00,17:35:00,435,1,No Info,8355
Jet Airways,2019-06-09,Delhi,Cochin,09:25:00,12:35:00,1630,2,No Info,13882
Multiple Carriers,2019-05-27,Delhi,Cochin,09:00:00,19:15:00,615,1,No Info,15898
Air India,2019-03-27,Delhi,Cochin,07:05:00,09:25:00,1580,2,No Info,6565
Vistara,2019-05-24,Kolkata,Banglore,07:10:00,18:50:00,700,1,No Info,9555
Multiple Carriers,2019-06-06,Delhi,Cochin,19:00:00,01:30:00,390,1,No Info,7530
Indigo,2019-05-06,Kolkata,Banglore,21:25:00,00:05:00,160,0,No Info,4804
Multiple Carriers,2019-03-21,Delhi,Cochin,09:10:00,18:50:00,580,1,No Info,13069
